"Origin domain","Origin page","Anchor","Link"
"sepia2.unil.ch","https://sepia2.unil.ch/wp/garrido/category/non-classe/","http://www.cartostat.vd.ch/#sid=116;sly=a_com_DR;l=fr;i=pop_natio.pop_ch_etr;v=map1;s=2017;z=529887,159307,10447,9646","http://www.cartostat.vd.ch/#sid=116;sly=a_com_DR;l=fr;i=pop_natio.pop_ch_etr;v=map1;s=2017;z=529887,159307,10447,9646"
"wp.unil.ch","https://wp.unil.ch/infofbm?mailpoet_router&endpoint=track&action=click&data=WyIxNzMiLCIyOWRjNjkiLCI0NiIsIjNlYzZlZWNmMGVjYiIsZmFsc2Vd","IC Cluster services","http://iccluster.epfl.ch"
"wp.unil.ch","https://wp.unil.ch/infofbm?mailpoet_router&endpoint=track&action=click&data=WyIxNzMiLCIyOWRjNjkiLCI0NiIsIjNlYzZlZWNmMGVjYiIsZmFsc2Vd","Bonus","http://Performance%20Bonuses%20and%20exceptional%20Salary%20Increases%20for%20outstanding%20performance%20and%20appreciation%20of%20work"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","WoS","http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=ResearchSoft&SrcApp=RefMan&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000535710400008"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32247827"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_A31339F7E913","https://serval.unil.ch/notice/serval:BIB_A31339F7E913"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_241083E0FA4C"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_241083E0FA4C9?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.1038/s41467-020-16889-z"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32581219"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_241083E0FA4C","https://serval.unil.ch/notice/serval:BIB_241083E0FA4C"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_E40964E9B283"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_E40964E9B2839?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.1038/s41467-020-16943-w"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32576833"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_E40964E9B283","https://serval.unil.ch/notice/serval:BIB_E40964E9B283"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_AA4F7869B18E"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_AA4F7869B18E2?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.1038/s42003-020-1018-x"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","WoS","http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=ResearchSoft&SrcApp=RefMan&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000540512500003"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32504007"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_AA4F7869B18E","https://serval.unil.ch/notice/serval:BIB_AA4F7869B18E"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_9991C1CE2399"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_9991C1CE23996?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.15252/embr.201949234"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","WoS","http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=ResearchSoft&SrcApp=RefMan&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000538147200021"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32270908"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_9991C1CE2399","https://serval.unil.ch/notice/serval:BIB_9991C1CE2399"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_9C270BA8A587"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_9C270BA8A5876?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.1101/756338"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32488086"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_9C270BA8A587","https://serval.unil.ch/notice/serval:BIB_9C270BA8A587"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","","https://serval.unil.ch/structure/serval:BIB_35C2422DBA31"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","URN","https://nbn-resolving.org/urn:nbn:ch:serval-BIB_35C2422DBA313?siteLang=fr"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.15252/msb.20199361"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","WoS","http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=ResearchSoft&SrcApp=RefMan&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000545998800013"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32529808"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","serval:BIB_35C2422DBA31","https://serval.unil.ch/notice/serval:BIB_35C2422DBA31"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","DOI","https://dx.doi.org/10.1002/pro.3864"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","WoS","http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=ResearchSoft&SrcApp=RefMan&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000527050400001"
"applicationspub.unil.ch","https://applicationspub.unil.ch/interpub/noauth/php/Un/UnUnite.php?UnId=45&LanCode=8&menu=pub","Pmid","https://pubmed.ncbi.nlm.nih.gov/32239748"
