"Origin domain","Origin page","Anchor","Link"
"femina.ch","https://www.femina.ch/forme/cuisine/food-truck-mon-resto-est-un-camion","www.abpastrami.ch","http://www.abpastrami.ch"
"femina.ch","https://www.femina.ch/temps-libre/bonnes-adresses/food-festivals-les-rendez-vous-a-ne-pas-manquer","Quai des Gourmands Festival","https://www.quai-des-gourmands.ch/"
"femina.ch","https://www.femina.ch/temps-libre/bonnes-adresses/food-festivals-les-rendez-vous-a-ne-pas-manquer","le street food fest","http://https://www.facebook.com/events/1173323846045307/"
"femina.ch","https://www.femina.ch/temps-libre/loisirs/jai-teste-pour-vous-geneva-street-food-festival","Patati Patata","http://www.lakaravanapatates.ch/presentation/bienvenue"
"femina.ch","https://www.femina.ch/temps-libre/loisirs/suisse-romande-les-food-festivals-de-lete-a-tester","en ligne","https://www.wff-shop.ch/fran%C3%A7ais/shop/"
"femina.ch","https://www.femina.ch/temps-libre/loisirs/les-adresses-gourmandes-a-ne-pas-manquer-a-la-rentree-a-paris","http://paris.peninsula.com/","http://paris.peninsula.com/"
"femina.ch","https://www.femina.ch/societe/actu-societe/un-si-beau-mariage-toutes-les-tendances-2016","chignons bohème ou tresses","http://http://www.femina.ch/mariage/coiffure-maquillage/50-plus-belles-coiffures-mariee-pinterest"
"femina.ch","https://www.femina.ch/societe/actu-societe/un-si-beau-mariage-toutes-les-tendances-2016","30 lieux naturels à voir absolument","http://http://www.femina.ch/loisirs/voyage/30-lieux-naturels-a-voir-absolument-paysages-reves-2015"
"femina.ch","https://www.femina.ch/societe/actu-societe/un-si-beau-mariage-toutes-les-tendances-2016","guinguette","http://http://www.femina.ch/loisirs/deco/pinterest-18-esprits-guinguette-a-copier"
"femina.ch","https://www.femina.ch/societe/actu-societe/nicolas-hulot-le-you-tubeur-de-demain"," le site de la Fondation Nicolas Hulot, «Osons»","https://formulaires.fondation-nicolas-hulot.org/fra/osons/"
"femina.ch","https://www.femina.ch/temps-libre/bonnes-adresses/suisse-10-nouvelles-activites-a-tester-en-2019","Plus d'informations","http://https://www.crans-montana.ch/fr/randoparc/"
"femina.ch","https://www.femina.ch/temps-libre/bonnes-adresses/suisse-10-nouvelles-activites-a-tester-en-2019","Plus d'informations","http://https://www.hardrockhoteldavos.com/rock-spa.htm"
"femina.ch","https://www.femina.ch/temps-libre/bonnes-adresses/suisse-10-nouvelles-activites-a-tester-en-2019","Plus d'informations","http://http://www.kunsthaus.ch/fr/expositions/apercu/fly-me-to-the-moon/"
"femina.ch","https://www.femina.ch/temps-libre/voyage/paris-festif-10-adresses-a-tester","newsletter","http://http://rexclub.com/program"
"femina.ch","https://www.femina.ch/forme/sante/suisse-romande-8-solutions-pour-manger-sain-et-varie-au-travail","Deliway","https://www.deliway.ch/"
